Type,Time,x,y,z,Action
Accel,2.816469,-1190.000000,7326.000000,8845.000000,Neutral
Gyro,2.816469,-86.133514,-26.684574,-9.178313,Neutral
Accel,2.849561,-2219.000000,6889.000000,8516.000000,Neutral
Gyro,2.849561,-87.465805,-28.035402,-8.188145,Neutral
Accel,2.866317,-2798.000000,2321.000000,6138.000000,Neutral
Gyro,2.866317,-88.799835,-28.435505,-7.134861,Neutral
Accel,2.898366,-651.000000,1251.000000,6152.000000,Neutral
Gyro,2.898366,-88.950020,-29.239828,-5.358870,Neutral
Accel,2.914768,3616.000000,303.000000,5597.000000,Neutral
Gyro,2.914768,-89.132217,-30.189762,-5.461747,Neutral
Accel,2.950556,4751.000000,-2494.000000,3971.000000,Neutral
Gyro,2.950556,-89.501869,-31.356194,-6.656872,Neutral
Accel,2.97447,4190.000000,-7304.000000,2807.000000,Neutral
Gyro,2.97447,-89.966713,-31.509014,-7.014447,Neutral
Accel,2.997808,3980.000000,-13035.000000,2211.000000,Neutral
Gyro,2.997808,-90.541214,-31.723206,-7.116645,Neutral
Accel,3.014272,4822.000000,-22099.000000,887.000000,Neutral
Gyro,3.031206,-92.084259,-32.217896,-6.813645,Neutral
Accel,3.047111,5926.000000,-21520.000000,581.000000,Neutral
Gyro,3.047111,-92.489738,-33.051212,-6.535998,Neutral
Accel,3.070214,5836.000000,-10500.000000,2343.000000,Neutral
Gyro,3.070214,-90.904747,-33.200100,-7.703878,Neutral
Accel,3.087059,5010.000000,-2144.000000,3456.000000,Neutral
Gyro,3.100994,-89.314560,-32.159111,-11.450036,Neutral
Accel,3.114285,3192.000000,5342.000000,4101.000000,Neutral
Gyro,3.126891,-87.444336,-30.733541,-13.715102,Neutral
Accel,3.150184,1842.000000,8364.000000,3976.000000,Neutral
Gyro,3.150184,-86.820312,-28.327263,-15.287089,Neutral
Accel,3.169288,256.000000,9910.000000,4127.000000,Neutral
Gyro,3.169288,-86.607796,-26.977501,-14.988231,Neutral
Accel,3.186323,-929.000000,10114.000000,4150.000000,Neutral
Gyro,3.202485,-86.579094,-25.493357,-13.039514,Neutral
Accel,3.218182,-1490.000000,8895.000000,4655.000000,Neutral
Gyro,3.218182,-86.256294,-24.927277,-11.316937,Neutral
Accel,3.245628,-1057.000000,8027.000000,5653.000000,Neutral
Gyro,3.245628,-86.015472,-24.755838,-9.123822,Neutral
Accel,3.275682,-758.000000,6918.000000,6633.000000,Neutral
Gyro,3.275682,-85.871986,-24.862185,-8.231480,Neutral
Accel,3.290484,-234.000000,2823.000000,6285.000000,Neutral
Gyro,3.290484,-85.716072,-24.790709,-7.213284,Neutral
Accel,3.317276,3330.000000,-8750.000000,4431.000000,Neutral
Gyro,3.330588,-85.048958,-24.542387,-6.688783,Neutral
Accel,3.359346,3610.000000,-13010.000000,2880.000000,Neutral
Gyro,3.359346,-84.479958,-24.129292,-7.525164,Neutral
Accel,3.379266,-762.000000,-16687.000000,-636.000000,Neutral
Gyro,3.379266,-83.847809,-23.566013,-9.997648,Neutral
Accel,3.38723,-400.000000,-14669.000000,-446.000000,Neutral
Gyro,3.400867,-83.464211,-22.394720,-15.015543,Neutral
Accel,3.417969,1444.000000,-9580.000000,1468.000000,Neutral
Gyro,3.417969,-83.126633,-22.037333,-17.728506,Neutral
Accel,3.449207,2098.000000,-4547.000000,3375.000000,Neutral
Gyro,3.449207,-83.069008,-22.209412,-19.368994,Neutral
Accel,3.464844,2017.000000,2120.000000,5518.000000,Neutral
Gyro,3.464844,-83.284958,-22.485521,-19.121878,Neutral
Accel,3.498199,1509.000000,5056.000000,5917.000000,Neutral
Gyro,3.498199,-83.797089,-22.796747,-17.768112,Neutral
Accel,3.512534,-154.000000,6874.000000,5769.000000,Neutral
Gyro,3.528895,-85.057610,-22.854479,-16.401966,Neutral
Accel,3.54522,-1208.000000,6275.000000,5103.000000,Neutral
Gyro,3.54522,-85.955917,-22.728670,-13.884624,Neutral
Accel,3.576807,-1696.000000,7863.000000,5390.000000,Neutral
Gyro,3.576807,-86.936356,-22.709654,-12.323267,Neutral
Accel,3.596673,-1867.000000,8006.000000,5743.000000,Neutral
Gyro,3.596673,-87.378036,-23.067169,-11.148247,Neutral
Accel,3.618628,-1532.000000,7299.000000,5374.000000,Neutral
Gyro,3.618628,-88.115540,-23.517365,-10.849410,Neutral
Accel,3.635545,-752.000000,5011.000000,4440.000000,Neutral
Gyro,3.651866,-88.540573,-24.298479,-10.370201,Neutral
Accel,3.66822,-419.000000,1957.000000,3565.000000,Neutral
Gyro,3.66822,-88.653931,-24.742323,-9.961096,Neutral
Accel,3.700861,132.000000,1540.000000,3732.000000,Neutral
Gyro,3.700861,-88.590302,-25.365576,-10.362310,Neutral
Accel,3.717788,657.000000,-5752.000000,1634.000000,Neutral
Gyro,3.717788,-89.712379,-26.054184,-11.203810,Neutral
Accel,3.747917,-988.000000,-9824.000000,110.000000,Neutral
Gyro,3.747917,-91.220924,-27.393106,-11.473661,Neutral
Accel,3.777959,1406.000000,-12930.000000,-1499.000000,Neutral
