Type,Time,x,y,z,Action
Gyro,3.661506,-10.258247,-18.374052,-12.854572,Neutral
Accel,3.691876,-1151.000000,3440.000000,10269.000000,Neutral
Gyro,3.691876,-10.716062,-18.325087,-11.486310,Neutral
Accel,3.708246,-707.000000,-714.000000,11429.000000,Neutral
Gyro,3.708246,-11.116526,-18.198709,-9.525322,Neutral
Accel,3.738286,303.000000,-7854.000000,12647.000000,Neutral
Gyro,3.738286,-12.095918,-18.033709,-8.661130,Neutral
Accel,3.752107,0.000000,-11275.000000,12526.000000,Neutral
Gyro,3.759581,-12.645072,-17.277395,-8.345038,Neutral
Accel,3.797836,-1417.000000,-13385.000000,11762.000000,Neutral
Gyro,3.797836,-12.530787,-16.243830,-8.689672,Neutral
Accel,3.814341,-2094.000000,-11741.000000,11715.000000,Neutral
Gyro,3.814341,-12.423298,-14.434960,-9.866755,Neutral
Accel,3.830853,-2596.000000,-10304.000000,10820.000000,Neutral
Gyro,3.847788,-12.474739,-13.503815,-10.727585,Neutral
Accel,3.869636,-3137.000000,-7739.000000,9872.000000,Neutral
Gyro,3.869636,-12.534797,-12.601565,-11.174789,Neutral
Accel,3.884931,-3676.000000,-2340.000000,8498.000000,Neutral
Gyro,3.884931,-12.383701,-12.226773,-10.987542,Neutral
Accel,3.901848,-4086.000000,856.000000,7993.000000,Neutral
Gyro,3.918243,-12.139664,-11.819818,-10.334159,Neutral
Accel,3.954736,-4307.000000,4502.000000,7240.000000,Neutral
Gyro,3.954736,-11.727519,-11.642740,-9.806395,Neutral
Accel,3.954736,-4348.000000,5860.000000,6864.000000,Neutral
Gyro,3.954736,-11.507450,-11.526315,-8.982045,Neutral
Accel,3.995825,-3957.000000,6800.000000,6412.000000,Neutral
Gyro,3.995825,-11.262998,-11.550144,-8.454744,Neutral
Accel,4.012763,-4245.000000,5797.000000,6325.000000,Neutral
Gyro,4.012763,-11.216279,-11.678621,-7.837453,Neutral
Accel,4.029356,-4361.000000,3728.000000,5961.000000,Neutral
Gyro,4.045456,-11.406549,-11.772138,-7.735717,Neutral
Accel,4.061461,-3028.000000,1215.000000,5682.000000,Neutral
Gyro,4.061461,-11.426018,-11.990689,-8.121428,Neutral
Accel,4.094117,-1794.000000,-3921.000000,7164.000000,Neutral
Gyro,4.094117,-11.388557,-12.233230,-8.638573,Neutral
Accel,4.110553,-1417.000000,-7768.000000,8341.000000,Neutral
Gyro,4.110553,-11.684438,-12.838309,-9.939720,Neutral
